genus,dbh.min,dbh.q.025,dbh.q.25,dbh.median,dbh.q.75,dbh.q.975,dbh.max,dbh.mean,dbh.sd,dbh.n,dbh.cv,dbh.se,H.min,H.q.025,H.q.25,H.median,H.q.75,H.q.975,H.max,H.mean,H.sd,H.n,H.cv,H.se,wd.min,wd.q.025,wd.q.25,wd.median,wd.q.75,wd.q.975,wd.max,wd.mean,wd.sd,wd.n,wd.cv,wd.se,agb.min,agb.q.025,agb.q.25,agb.median,agb.q.75,agb.q.975,agb.max,agb.mean,agb.sd,agb.n,agb.cv,agb.se,n,n.sp,n.family,n.order
Artocarpus,2.5464790894703255,3.183098861837907,7.321127382227186,14.642254764454371,7.321127382227186,47.7464829275686,256.2394583779515,17.394114267675967,12.972878339085693,9093,74.58200020678031,0.13604505160124006,2,2,5,7,5,13,23,6.953700648850765,3.0316106276183588,9093,43.59708277231336,0.03179214461809831,0.4325,0.4916666666666667,0.4916666666666667,0.4916666666666667,0.4916666666666667,0.4916666666666667,0.64,0.49049552769529675,0,9093,0,0,1033.653148687966,1049.386924206984,1062.705589722628,1067.9970850904062,1062.705589722628,1095.424195878461,1105.858267140422,1070.2635325515378,13.13352312336041,100,1.2271298352144848,1.313352312336041,3,3,1,1
Averrhoa,2.5464790894703255,2.5464790894703255,4.138028520389279,7.002817496043395,4.138028520389279,24.549649971924858,38.515496228238675,9.00653742061059,6.48443694287747,156,71.99700217797867,0.5191704580642362,2,2,3,4,3,9,11,4.262820512820513,1.9045350952048197,156,44.6778157672108,0.15248484432607182,0.5,0.5,0.5,0.5,0.5,0.5768,0.5768,0.5349538461538461,0,156,0,0,3.02900861794211,3.126106486269184,3.435525184340986,3.610671580751463,3.435525184340986,4.155888146115824,4.754512281306011,3.636458342713582,0.29266695025846673,100,8.048131524588676,0.029266695025846674,2,2,1,1
Azadirachta,2.5464790894703255,3.183098861837907,7.002817496043395,13.050705333535419,7.002817496043395,48.06479281375239,233.00283668653478,16.10771392064281,12.630834763895804,108625,78.41481929790659,0.038323675926910696,2,2,4,6,4,12,25,6.1258365937859605,2.7518036968402413,108625,44.921271645274814,0.008349347850992929,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0,108625,0,0,13895.261511338871,13960.637589924805,14068.527914631024,14127.875539636707,14068.527914631024,14339.325304463868,14479.167522679056,14131.434859421975,101.34655127736625,100,0.7171709899635179,10.134655127736625,1,1,1,1
Balanites,3.183098861837907,3.183098861837907,4.695070821210913,7.002817496043395,4.695070821210913,17.769649396210113,20.690142601946395,7.476492921912131,3.4563243200602716,168,46.22921945034502,0.26666121057037473,2,2,3,3,3,6,7,3.5833333333333335,1.1182571269596309,168,31.20717563608272,0.08627541040442768,0.6743333333333333,0.6743333333333333,0.6743333333333333,0.6743333333333333,0.6743333333333333,0.6743333333333333,0.6743333333333333,0.6743333333333333,0,168,0,0,1.7826275079086458,1.8029275402033886,1.9165838454617012,1.982032146948483,1.9165838454617012,2.2408811709212264,2.3248191170351045,1.994936033113658,0.11270391198844545,100,5.6495000399857105,0.011270391198844546,1,1,1,1
Barringtonia,2.5464790894703255,3.183098861837907,6.366197723675814,10.185916357881302,6.366197723675814,29.666481392329302,32.78591827693044,12.317565789228235,7.7430614134414295,155,62.86194485125276,0.6219376592155259,2,2,4,5,4,10,10,4.922580645161291,1.7452551031146228,155,35.454068280834406,0.14018226326873887,0.42225,0.42225,0.5246666666666666,0.5246666666666666,0.5246666666666666,0.5246666666666666,0.5246666666666666,0.5027693548387097,0,155,0,0,4.92367360776038,5.1178624307592155,5.509405932041288,5.761154344036383,5.509405932041288,6.43614713723362,6.636780878956522,5.751721270316837,0.3474736977890003,100,6.041212385972582,0.03474736977890003,3,3,1,1
Bauhinia,2.5464790894703255,2.5464790894703255,3.183098861837907,4.7746482927568605,3.183098861837907,25.464790894703256,287.1155173377792,7.851392191797826,6.7827902049960915,66613,86.38964962267355,0.026280213420307005,2,2,3,4,3,9,23,4.488583309564199,1.9473746876260203,66613,43.385062798691656,0.007545187283312854,0.58,0.634,0.72,0.72,0.72,0.72,1.055,0.7157677230170287,0,66613,0,0,1983.4290485790004,1995.9830825156946,2020.3884369637856,2031.5172805434986,2020.3884369637856,2075.40962752638,2077.67076817236,2030.931698442704,18.50992194118526,100,0.9114005141275044,1.8509921941185261,8,8,1,1
Beaucarnea,3.183098861837907,3.819718634205488,3.819718634205488,5.092958178940651,3.819718634205488,21.04028347674857,49.01972247230376,7.138967742346196,5.316456251840634,339,74.47093814845282,0.28875026760761136,2,2,2,2,2,7,14,3.032448377581121,1.4642111876068427,339,48.28478527224899,0.07952503551762656,0.41825,0.41825,0.41825,0.41825,0.41825,0.41825,0.41825,0.41825,0,339,0,0,2.6684282394842542,2.758109558372631,3.033456564555265,3.2289123634749406,3.033456564555265,3.9616515082478143,4.112824055455674,3.267023331565771,0.3286488373475007,100,10.059580357817364,0.03286488373475007,1,1,1,1
Bischofia,7.321127382227186,7.321127382227186,7.321127382227186,7.321127382227186,7.321127382227186,7.321127382227186,7.321127382227186,7.321127382227186,NA,1,NA,NA,5,5,5,5,5,5,5,5,NA,1,NA,NA,0.6017,0.6017,0.6017,0.6017,0.6017,0.6017,0.6017,0.6017,NA,1,NA,NA,3.423106398037395e-4,0.0038956692550325958,0.007089599796503865,0.008662338406689164,0.007089599796503865,0.021720766846761663,0.02693925396990587,0.009870251973752846,0.004574198911266532,100,46.34328407653953,4.574198911266532e-4,1,1,1,1
Bismarckia,3.183098861837907,3.183098861837907,6.366197723675814,10.822536130248883,6.366197723675814,46.69606030316209,58.250709171633694,13.480989843712717,10.812346228509226,253,80.20439414211043,0.679766383274918,2,2,2,3,2,6,7,2.8379446640316206,1.0989817278715879,253,38.72456506288464,0.06909238926059535,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.5517604166666666,0,253,0,0,8.06730929849251,8.265757180283263,8.915355346997387,9.394670543674284,8.915355346997387,10.773071937650474,11.330098435111061,9.395297912695225,0.6643454254633262,100,7.071041617165131,0.06643454254633262,1,1,1,1
Bixa,2.5464790894703255,3.819718634205488,15.915494309189533,25.464790894703256,15.915494309189533,37.059228498947824,41.38028520389279,22.120807144739846,9.433386822756624,184,42.64485812399395,0.6954385031565333,2,2,7,8,7,14,15,8.380434782608695,3.238573494592404,184,38.64445674481209,0.2387508055970526,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0,184,0,0,18.600467838738144,19.708431101203914,20.73720744876065,21.320002231827168,20.73720744876065,22.846762401993658,23.527365679679626,21.327881869168895,0.9071789115284155,100,4.2534880729990014,0.09071789115284154,1,1,1,1
Bombax,2.5464790894703255,2.5464790894703255,3.819718634205488,9.23098669932993,3.819718634205488,55.70423008216337,142.60282901033824,14.554098827527046,14.95206755213278,2282,102.734409937172,0.31299934623975284,2,2,3,5,3,14,21,5.790534618755478,3.399066041603163,2282,58.70038373647962,0.0711544035724864,0.3135,0.3135,0.3135,0.3135,0.3135,0.3135,0.3135,0.3135,0,2282,0,0,168.19097901213541,170.85620564736735,178.3150586989335,181.56623980881412,178.3150586989335,192.9371383955026,195.24348608329933,181.92122707692164,5.436922818348681,100,2.9886137564638298,0.5436922818348682,1,1,1,1
Borassus,2.5464790894703255,3.40591578216656,9.549296585513721,14.960564650638162,9.549296585513721,83.39719018015312,98.6760647169751,21.94023233677728,19.812249364099287,55,90.30100073684741,2.671483159272639,2,2,4,5,4,14.949999999999996,25,6.709090909090909,4.170765660557567,55,62.16588382944883,0.5623859269428649,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0,55,0,0,11.556935495420205,14.091361057692328,15.924720807509242,16.891086931803837,15.924720807509242,20.749349285675013,23.12898004222896,17.192141506034066,1.91005917271904,100,11.110071261620613,0.191005917271904,1,1,1,1
