rarity,dbh.min,dbh.q.025,dbh.q.25,dbh.median,dbh.q.75,dbh.q.975,dbh.max,dbh.mean,dbh.sd,dbh.n,dbh.cv,dbh.se,H.min,H.q.025,H.q.25,H.median,H.q.75,H.q.975,H.max,H.mean,H.sd,H.n,H.cv,H.se,wd.min,wd.q.025,wd.q.25,wd.median,wd.q.75,wd.q.975,wd.max,wd.mean,wd.sd,wd.n,wd.cv,wd.se,agb.min,agb.q.025,agb.q.25,agb.median,agb.q.75,agb.q.975,agb.max,agb.mean,agb.sd,agb.n,agb.cv,agb.se,n,n.sp,n.genus,n.family,n.order
Common,2.5464790894703255,3.183098861837907,4.7746482927568605,8.91267681314614,14.32394487827058,40.42535554534142,485.104266544097,11.783680400016047,11.194552829579104,3931309,95.00047904866682,0.005645964718299219,2,2,3,5,7,12,25,5.47705509793303,2.750080230721304,3931309,50.21092871165654,0.0013870009987463198,0.17,0.3626,0.59475,0.6175,0.6833333333333333,1.0772,1.1375,0.6592855054191586,0,3931309,0,0,298105.17541218887,299635.4956837165,301861.7292698918,303051.7931246485,304252.3760732336,306560.82486459095,309577.4802764133,303017.8422673882,1923.1674556092685,100,0.6346713583658325,192.31674556092685,305,305,190,57,27
Rare,2.5464790894703255,2.5464790894703255,3.819718634205488,5.411268065124442,8.594366926962348,25.464790894703256,190.9859317102744,7.550544542561129,7.475890628714729,51410,99.01127775055707,0.03297153278478674,2,2,3,4,5,9,23,4.302937171756468,1.9310009178835064,51410,44.87634471072855,0.008516451515074568,0.234,0.4,0.7213333333333334,0.7213333333333334,0.7213333333333334,0.87,1.21,0.696242373420465,0,51410,0,0,1389.9374829149058,1396.770322473974,1415.4210751522585,1425.357365525384,1437.2443205727131,1456.0147465524396,1464.8393382477752,1426.1624716057727,16.100695457589133,100,1.1289524004555191,1.6100695457589134,119,119,99,45,22
NA,2.5464790894703255,3.183098861837907,6.366197723675814,12.095775674984045,21.008452488130185,54.11268065124442,308.76058959827697,16.36801871176007,14.831003429803706,26904,90.60964366535059,0.09041950146387977,2,2,3,5,7,12,25,5.496134403806125,2.9116492399386273,26904,52.97631073072526,0.01775131898249582,Inf,NA,NA,NA,NA,NA,-Inf,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,100,NA,0,NA,NA,NA,NA,NA
