family,dbh.min,dbh.q.025,dbh.q.25,dbh.median,dbh.q.75,dbh.q.975,dbh.max,dbh.mean,dbh.sd,dbh.n,dbh.cv,dbh.se,H.min,H.q.025,H.q.25,H.median,H.q.75,H.q.975,H.max,H.mean,H.sd,H.n,H.cv,H.se,wd.min,wd.q.025,wd.q.25,wd.median,wd.q.75,wd.q.975,wd.max,wd.mean,wd.sd,wd.n,wd.cv,wd.se,agb.min,agb.q.025,agb.q.25,agb.median,agb.q.75,agb.q.975,agb.max,agb.mean,agb.sd,agb.n,agb.cv,agb.se,n,n.sp,n.genus,n.order
Melastomataceae,4.45633840657307,4.45633840657307,4.45633840657307,4.45633840657307,4.45633840657307,4.45633840657307,4.45633840657307,4.45633840657307,NA,1,NA,NA,2,2,2,2,2,2,2,2,NA,1,NA,NA,0.7728157894736842,0.7728157894736842,0.7728157894736842,0.7728157894736842,0.7728157894736842,0.7728157894736842,0.7728157894736842,0.7728157894736842,NA,1,NA,NA,1.7048117807569207e-4,5.988585637497659e-4,0.0012481872537682226,0.0018253412456883406,0.0012481872537682226,0.004842324735658854,0.012009200279489131,0.0020325504146245523,0.001357154754378964,100,66.77102543749962,1.357154754378964e-4,1,1,1,1
Meliaceae,2.5464790894703255,3.183098861837907,6.684507609859605,12.414085561167836,6.684507609859605,50.29296201703893,233.00283668653478,15.830367507825931,13.437233929678099,135929,84.88264042534225,0.03644633115863572,2,2,4,6,4,12,25,6.165586445865121,2.8636430581736065,135929,46.44559091526607,0.00776717022004125,0.43777777777777777,0.5195454545454545,0.64,0.64,0.64,0.64,0.96,0.6229182104357488,0,135929,0,0,18505.79138997863,18541.892960135505,18744.56837093289,18832.458275153684,18744.56837093289,19153.780572522086,19376.433042195793,18832.413923191307,148.7781111868766,100,0.7900108387255802,14.87781111868766,11,11,9,1
Moraceae,2.5464790894703255,2.5464790894703255,3.819718634205488,7.639437268410976,3.819718634205488,79.57747154594767,485.104266544097,16.13926808396354,22.68792095157678,160909,140.57589745423573,0.05655936597706015,2,2,3,4,3,14,25,5.476654506584467,3.377601694639864,160909,61.67271809056139,0.008420119709496694,0.29,0.29,0.3626,0.4593333333333333,0.3626,0.49366666666666664,0.64,0.42111290215704783,0,160909,0,0,31565.08086005631,31714.886952987363,32052.210446598627,32339.12579157693,32052.210446598627,33084.76835719825,33211.813162717066,32338.431240821108,362.22318144683936,100,1.1201012774843624,36.22231814468394,25,25,5,1
Moringaceae,2.5464790894703255,3.183098861837907,7.639437268410976,12.732395447351628,7.639437268410976,38.197186342054884,313.53523789103383,14.310144057751167,9.701634815868466,16076,67.79550769521096,0.07651664586923443,2,2,4,6,4,11,22,5.661171933316745,2.416447059880553,16076,42.684572882505876,0.019058481117038555,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0,16076,0,0,506.02772877217166,509.400036553562,514.8006978259999,519.6063101971201,514.8006978259999,534.917549000906,543.6643203728004,519.9196658329824,6.851859901023408,100,1.3178689615530874,0.6851859901023408,1,1,1,1
Muntingiaceae,2.5464790894703255,3.183098861837907,5.092958178940651,9.549296585513721,5.092958178940651,24.50986123615188,66.84507609859604,10.677006377155195,6.425145927461799,6004,60.177410226233555,0.08292064163799456,2,2,3,5,3,10,16,5.152564956695536,2.0961500011999896,6004,40.681680266371664,0.027052164266975653,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,6004,0,0,104.24059663952794,104.69869816386938,106.28938384648166,107.26573441381612,106.28938384648166,109.73127123905158,109.99336063824533,107.21874775660042,1.2938740597289453,100,1.20676102528841,0.12938740597289453,1,1,1,1
Myristicaceae,3.183098861837907,3.183098861837907,4.138028520389279,6.366197723675814,4.138028520389279,15.398240744140868,16.552114081557114,7.527439345494457,3.5554039752764197,54,47.23258218486349,0.48382919827167364,2,2,3,5,3,8.674999999999997,12,4.944444444444445,2.1927553672557574,54,44.3478613602288,0.2983962100292077,0.4595977011494253,0.4595977011494253,0.4595977011494253,0.4595977011494253,0.4595977011494253,0.4595977011494253,0.4595977011494253,0.4595977011494253,0,54,0,0,0.47913232267532563,0.5020597999686713,0.5545137119621373,0.5892260236583253,0.5545137119621373,0.7126005692291815,0.7781723134787326,0.596026420162471,0.05443241823808385,100,9.132551242148981,0.005443241823808385,1,1,1,1
Myrtaceae,2.5464790894703255,3.183098861837907,6.366197723675814,12.732395447351628,6.366197723675814,55.70423008216337,239.0507245240268,17.666625654576418,14.888812776805164,87597,84.2764943793798,0.05030549796928372,2,2,4,6,4,15,25,7.007443177277761,3.8180768335015225,87597,54.48601917860663,0.012900307047550531,0.5615,0.652,0.652,0.6726666666666666,0.652,0.794,0.96,0.6960840581499373,0,87597,0,0,18997.381124804448,19050.212723937075,19196.535022599495,19278.14256247107,19196.535022599495,19585.719419360626,19826.68976489464,19296.293407574532,150.16645645073714,100,0.7782139982997516,15.016645645073714,14,14,8,1
Nyctaginaceae,2.5464790894703255,3.183098861837907,4.7746482927568605,7.321127382227186,4.7746482927568605,21.645072260497766,36.60563691113593,8.19647956923261,5.113258817259492,168,62.38359742215789,0.3944964823631718,2,2,3,3,3,8.824999999999989,12,3.892857142857143,1.8181905668970633,168,46.70581272763098,0.1402764476708459,0.37722222222222224,0.37722222222222224,0.37722222222222224,0.37722222222222224,0.37722222222222224,0.37722222222222224,0.37722222222222224,0.37722222222222224,0,168,0,0,1.6659029312066087,1.7411684923219175,1.8774713580236337,2.01769422481215,1.8774713580236337,2.492062392069718,2.6209786293092203,2.0352774205035025,0.2055804389812286,100,10.10085587891849,0.02055804389812286,1,1,1,1
Ochnaceae,2.5464790894703255,2.7533805154897895,3.580986219567645,4.615493349664965,3.580986219567645,6.795916070023931,7.002817496043395,4.615493349664965,1.3198276269755398,14,28.59559156490486,0.3527387706958108,2,2,2,2,2,5.674999999999999,6,2.7142857142857144,1.2666473875533018,14,46.66595638354269,0.33852575386262335,0.746375,0.746375,0.746375,0.746375,0.746375,0.746375,0.746375,0.746375,0,14,0,0,0.024606350420979913,0.03264015502818599,0.04088562542013127,0.04476869503858866,0.04088562542013127,0.07408139927078322,0.07762291930972623,0.04748140412134575,0.010302685442577956,100,21.69835882748522,0.0010302685442577955,1,1,1,1
Oleaceae,2.5464790894703255,3.183098861837907,5.092958178940651,8.276057040778557,5.092958178940651,22.91831180523293,208.4929754503829,9.70469398952227,6.072903701488921,12368,62.576972628354575,0.054606791066899515,2,2,3,4,3,8,23,4.457309184993532,1.7069026205766293,12368,38.294463088252336,0.015348255028400815,0.8065,0.88,0.88,0.88,0.88,0.88,0.88,0.8799762289780078,0,12368,0,0,430.6319105504916,433.8581957850464,442.02256265591814,444.8189215600735,442.02256265591814,456.8482664004253,464.65818298497675,445.23412668259743,5.991944242321853,100,1.3457962638594965,0.5991944242321854,2,2,2,1
Oxalidaceae,2.5464790894703255,2.5464790894703255,4.138028520389279,7.002817496043395,4.138028520389279,24.549649971924858,38.515496228238675,9.00653742061059,6.48443694287747,156,71.99700217797867,0.5191704580642362,2,2,3,4,3,9,11,4.262820512820513,1.9045350952048197,156,44.6778157672108,0.15248484432607182,0.5,0.5,0.5,0.5,0.5,0.5768,0.5768,0.5349538461538461,0,156,0,0,3.02900861794211,3.126106486269184,3.435525184340986,3.610671580751463,3.435525184340986,4.155888146115824,4.754512281306011,3.636458342713582,0.29266695025846673,100,8.048131524588676,0.029266695025846674,2,2,1,1
